Establecimiento,Monto,Repeticiones,Etiqueta
Libreria A,50,0,Libros
Subway,10,0,Comida
Gimnasio X,40,0,Gimnasio
Cafetería B,5,0,Cafetería
H&M,30,0,Ropa
Netflix,12,0,Suscripciones
Farmacia C,15,0,Farmacia
Uber,20,0,Transporte
Pizzería Y,8,0,Pizza
Amazon,60,0,Electrónicos
Libreria A,45,1,Libros
Subway,12,1,Comida
Gimnasio X,40,1,Gimnasio
Cafetería B,5,1,Cafetería
H&M,30,1,Ropa
Netflix,12,1,Suscripciones
Farmacia C,15,1,Farmacia
Uber,18,1,Transporte
Pizzería Y,8,1,Pizza
Amazon,70,1,Electrónicos
Libreria A,55,2,Libros
Subway,10,2,Comida
Gimnasio X,40,2,Gimnasio
Cafetería B,5,2,Cafetería
H&M,30,2,Ropa
Netflix,12,2,Suscripciones
Farmacia C,15,2,Farmacia
Uber,20,2,Transporte
Pizzería Y,8,2,Pizza
Amazon,80,2,Electrónicos
Starbucks,6,0,Cafetería
Zara,40,0,Ropa
Amazon,90,0,Electrónicos
Libreria A,50,3,Libros
Subway,10,3,Comida
Gimnasio X,40,3,Gimnasio
Cafetería B,5,3,Cafetería
H&M,30,3,Ropa
Netflix,12,3,Suscripciones
Farmacia C,15,3,Farmacia
Uber,20,3,Transporte
Pizzería Y,8,3,Pizza
Amazon,100,3,Electrónicos
Libreria A,45,4,Libros
Subway,12,4,Comida
Gimnasio X,40,4,Gimnasio
Cafetería B,5,4,Cafetería
H&M,30,4,Ropa
Netflix,12,4,Suscripciones
Farmacia C,15,4,Farmacia
Uber,18,4,Transporte
Pizzería Y,8,4,Pizza
Amazon,110,4,Electrónicos
Libreria D,55,0,Libros
Subway,9,0,Comida
Gimnasio Y,38,0,Gimnasio
Cafetería C,6,0,Cafetería
Forever 21,28,0,Ropa
Disney+,13,0,Entretenimiento
Farmacia Z,16,0,Farmacia
Lyft,19,0,Transporte
Pizzería Z,7,0,Pizza
Best Buy,65,0,Electrónicos
Libreria E,60,0,Libros
KFC,11,0,Comida
Planet Fitness,45,0,Gimnasio
Starbucks,5,0,Cafetería
Nike,35,0,Ropa
Netflix,11,0,Suscripciones
Farmacia M,14,0,Farmacia
Uber,17,0,Transporte
Domino's,9,0,Pizza
Apple Store,75,0,Electrónicos
Libreria F,70,0,Libros
Burger King,8,0,Comida
24 Hour Fitness,50,0,Gimnasio
Dunkin' Donuts,4,0,Cafetería
Adidas,40,0,Ropa
HBO Max,12,0,Suscripciones
CVS,18,0,Farmacia
Lyft,20,0,Transporte
Pizza Hut,6,0,Pizza
Microsoft Store,80,0,Electrónicos
Libreria G,45,0,Libros
Taco Bell,7,0,Comida
Anytime Fitness,48,0,Gimnasio
Peet's Coffee,5,0,Cafetería
Zara,32,0,Ropa
Amazon Prime,14,0,Suscripciones
Walgreens,17,0,Farmacia
Uber,21,0,Transporte
Papa John's,8,0,Pizza
Samsung Store,70,0,Electrónicos
Libreria H,58,0,Libros
McDonald's,9,0,Comida
Gold's Gym,42,0,Gimnasio
Caribou Coffee,6,0,Cafetería
Gap,37,0,Ropa
Hulu,11,0,Suscripciones
Rite Aid,15,0,Farmacia
Lyft,19,0,Transporte
Little Caesars,7,0,Pizza
Sony Store,72,0,Electrónicos
Libreria I,62,0,Libros
Wendy's,8,0,Comida
Equinox,46,0,Gimnasio
Dutch Bros,4,0,Cafetería
H&M,31,0,Ropa
Disney+,12,0,Suscripciones
CVS,16,0,Farmacia
Uber,18,0,Transporte
Domino's,10,0,Pizza
Best Buy,68,0,Electrónicos
Libreria J,55,0,Libros
Panda Express,10,0,Comida
LA Fitness,49,0,Gimnasio
Starbucks,5,0,Cafetería
Forever 21,29,0,Ropa
Netflix,10,0,Suscripciones
Walgreens,15,0,Farmacia
Lyft,20,0,Transporte
Pizza Hut,7,0,Pizza
Apple Store,77,0,Electrónicos
Libreria K,57,0,Libros
Subway,11,0,Comida
Planet Fitness,47,0,Gimnasio
Dunkin' Donuts,4,0,Cafetería
Adidas,39,0,Ropa
HBO Max,13,0,Suscripciones
Rite Aid,17,0,Farmacia
Uber,22,0,Transporte
Papa John's,9,0,Pizza
Microsoft Store,73,0,Electrónicos
Libreria L,59,0,Libros
Burger King,7,0,Comida
24 Hour Fitness,52,0,Gimnasio
Peet's Coffee,6,0,Cafetería
Zara,34,0,Ropa
Amazon Prime,15,0,Suscripciones
CVS,19,0,Farmacia
Lyft,18,0,Transporte
Little Caesars,8,0,Pizza
Samsung Store,75,0,Electrónicos
Biblioteca Central,0,0,Libros
Uber,22,0,Transporte
Pizzería Napolitana,15,0,Comida
Apartamento en el Centro,800,0,Alquiler
Papelería XYZ,12,0,Material de estudio
Cineplex,18,0,Cine
Clínica Salud Total,60,0,Médico
Farmacia Express,10,0,Farmacia
Estación de Servicio A,40,0,Gasolina
AT&T,35,0,Teléfono
Imprenta Rápida,8,0,Impresiones
Pizza Italia,12,0,Pizza
Taxi 123,15,0,Taxis
Teatro Municipal,30,0,Conciertos
Bar El Patio,50,0,Fiesta
Lavandería LimpiaTodo,9,0,Lavandería
Gimnasio Wellness,30,0,Deportes
Tienda de Regalos Creativos,20,0,Regalos
Agencia de Viajes DreamTrip,300,0,Viaje
Cuenta de Ahorros,500,0,Ahorro
Amazon Prime,12,0,Suscripciones
Aseguradora SeguroVida,80,0,Seguro médico
Taller Mecánico FixIt,70,0,Reparaciones
Starbucks,6,0,Café
Metrobús,2,0,Transporte público
Apple Store,100,0,Electrónicos
Libreria XYZ,45,0,Libros
Uber,20,1,Transporte
